	election	cmte_id	purpid	purpose	vendor	category	platform	category_recode	consult	digital	cand_id	cand_office	sup_opp	soc_media	exp_amo	cmte_nm	cmte_dsgn	cmte_tp	party_impute	fec_party	crp_party	party_combined	pacshort	recipcode	industry	name	crpico	recipcode_cand	office	state	cd	cand_support	source	transaction_amt	cand_name	cand_office_st	cand_office_district	cand_ici	cand_status	status_combined	ads_ind	tv	tv2	ads_ind2	ads_opp	ads_opp2	ads	ads2	presyear	commtype	prescomms	preselect	dig_source	dig_type	total	deflator	total12
0	2020.0	C00507368	157840.0	DIGITAL MEDIA	SHAPING DEMOCRACY	digital	0.0	digital		1.0	H2OH03125	H		0.0		BEATTY FOR CONGRESS	P	H		1.0	1.0	1.0	Beatty for Congress	DW	Z1200	Joyce Beatty (D)	I	DW	H	OH	3.0		1.0	5500.0	BEATTY, JOYCE	OH	3.0	I	C	1.0		0.0	0.0		1.0	1.0	1.0	1.0	1.0	3.0		2020.0	1.0	1.0	0.0055	113.65	0.0048394194
1	2018.0	C00630400	487543.0	REINBURSMENT FOR WEBSITE SOCIAL MEDIA EXPENSES	OUR ATLANTIC CITY	digital	0.0	digital		1.0				0.0		OUR ATLANTIC CITY	U	O			1.0	1.0	Our Atlantic City	OI	J1200								1.0	450.0								0.0	0.0		1.0	1.0	1.0	1.0	0.0	7.0			1.0	1.0	0.00045	110.32	0.00040790427
2	2020.0	C00754671	530302.0	STAFF TIME FOR DIGITAL AD PRODUCTION	UNITED WE DREAM ACTION	digital	0.0	digital		1.0	S8AZ00221	S	S	0.0	15.27	UNITED WE DREAM ACTION PAC	U	O	1.0			1.0	United We Dream Action PAC	OI	J7500	Martha McSally (R)	I	RL	S	AZ			2.0								1.0	0.0	0.0	1.0			1.0	1.0	1.0	7.0		2020.0	1.0	1.0	1.5270001e-05	113.65	1.3435989e-05
3	2010.0	C00487470	176175.0	EMAIL COSTS FROM ADVANCE LINE	CLUB FOR GROWTH THE	digital	0.0	digital		1.0	S0NV00138	S	S	0.0	591.530029296875	CLUB FOR GROWTH ACTION	U	O	2.0		2.0	2.0	Club for Growth Action	OI	J1100	Sharron Angle (R)	C	RL	S	NV			2.0								1.0	0.0	0.0	1.0			1.0	1.0	0.0	7.0			1.0	1.0	0.00059153006	96.17	0.0006150879
4	2014.0	C00154625	388003.0	ONLINE CAMPAIGN ADVERTISING	FACEBOOK	digital	1.0	digital		1.0	H2OH09031	H		1.0		KAPTUR FOR CONGRESS	P	H		1.0	1.0	1.0	Kaptur for Congress	DW	Z1200	Marcy Kaptur (D)	I	DW	H	OH	9.0		1.0	107.33999633789062	KAPTUR, MARCY C HON.	OH	9.0	I	C	1.0		0.0	0.0		1.0	1.0	1.0	1.0	0.0	3.0			2.0	1.0	0.00010734	103.65	0.00010356006
5	2018.0	C00655837	521464.0	SOCIAL MEDIA	GARDEN CITY	digital	0.0	digital		1.0	H8GA01071	H		0.0		SEIDMAN FOR CONGRESS	P	H		1.0	1.0	1.0	Seidman for Congress	DL	Z1200	Barbara Seidman (D)	C	DL	H	GA	1.0		1.0	40.0	SEIDMAN, BARBARA A	GA	1.0	C	C	2.0		0.0	0.0		1.0	1.0	1.0	1.0	0.0	3.0			1.0	1.0	4e-05	110.32	3.6258156e-05
6	2016.0	C00564765	337625.0	MEDIA PLACEMENT DIGITAL ESTIMATE	TWITTER	digital	1.0	digital		1.0	S8IN00049	S	O	1.0	300.0	FREEDOM PARTNERS ACTION FUND, INC.	U	O	2.0		2.0	2.0	Freedom Partners Action Fund	OI	J1100	Evan Bayh (D)	O	DL	S	IN			2.0								1.0	0.0	0.0	1.0			1.0	1.0	1.0	7.0		2016.0	2.0	1.0	0.0003	105.74	0.0002837148
7	2018.0	C00571703	606109.0	WEB AD	TARGETED VICTORY	digital	0.0	digital		1.0	S8IN00171	S	S	0.0	297.6199951171875	SENATE LEADERSHIP FUND	U	O	2.0		2.0	2.0	Senate Leadership Fund	OI	J1100	Mike Braun (R)	C	RW	S	IN			2.0								1.0	0.0	0.0	1.0			1.0	1.0	0.0	7.0			1.0	1.0	0.00029762	110.32	0.00026977883
8	2018.0	C00487470	156476.0	DIGITAL AD PRODUCTION COSTS FROM ADVANCE LINE	CLUB FOR GROWTH	digital	0.0	digital		1.0	H8PA13125	H	O	0.0	490.2699890136719	CLUB FOR GROWTH ACTION	U	O	2.0		2.0	2.0	Club for Growth Action	OI	J1100	John Joyce (R)	O	RW	H	PA	13.0		2.0								1.0	0.0	0.0	1.0			1.0	1.0	0.0	7.0			1.0	1.0	0.00049027	110.32	0.00044440717
9	2020.0	C00709410	156706.0	DIGITAL ADVERTISING	AUTHENTIC CAMPAIGNS	digital	0.0	digital		1.0	S0NC00202	S		0.0		CAL FOR NC	P	S		1.0	1.0	1.0	Cal for North Carolina	DL	Z1200	Cal Cunningham (D)	C	DL	S	NC			1.0	173000.0	CUNNINGHAM, CAL	NC	0.0	C	C	2.0		0.0	0.0		1.0	1.0	1.0	1.0	1.0	2.0		2020.0	1.0	1.0	0.173	113.65	0.15222172
10	2018.0	C00495861	366913.0	NON CONTRIBUTION ACCOUNT DIGITAL AD BUY ESTIMATE	BULLY PULPIT INTERACTIVE	digital	0.0	digital		1.0	H8PA15245	H	O	0.0	48247.7197265625	PRIORITIES USA ACTION	U	V	1.0		1.0	1.0	Priorities USA Action	PI	J1200	Marty Nothstein (R)	O	RL	H	PA	7.0		2.0								1.0	0.0	0.0	1.0			1.0	1.0	0.0	6.0			1.0	1.0	0.048247717	110.32	0.043734334
11	2014.0	C00560029	387520.0	ONLINE ADVERTISING	COLLECTIVE	digital	0.0	digital		1.0	H0NY01137	H	O	0.0	25000.0	US JOBS COUNCIL	U	O	1.0		2.0	2.0	US Jobs Council	OI	J1100	George Demos (R)	C	RL	H	NY	1.0		2.0								1.0	0.0	0.0	1.0			1.0	1.0	0.0	7.0			1.0	1.0	0.025	103.65	0.024119634
12	2018.0	C00677492	522149.0	SOCIAL MEDIA WORK	SHEILA CHERFILUS MCCORMICK FOR CONGRESS	digital	0.0	digital		1.0	H8FL20032	H		0.0		SHEILA CHERFILUS MCCORMICK FOR CONGRESS, INC	P	H		1.0	1.0	1.0	Sheila Cherfilus Mccormick for Congress	DL	Z1200	Sheila Cherfilus-Mccormick (D)	C	DL	H	FL	20.0		1.0	550.0	CHERFILUS-MCCORMICK, SHEILA	FL	20.0	C	C	2.0		0.0	0.0		1.0	1.0	1.0	1.0	0.0	3.0			1.0	1.0	0.00055	110.32	0.00049854966
13	2014.0	C00544098	157840.0	DIGITAL MEDIA	HOOPER ALEXANDER	digital	0.0	digital		1.0	S4SC00265	S		0.0		RICHARD CASH FOR SENATE	P	S		2.0	2.0	2.0	Richard Cash for Senate	RL	Z1100	Richard Cash (R)	C	RL	S	SC			1.0	180.17999267578125	CASH, RICHARD J	SC	0.0	C	C	2.0		0.0	0.0		1.0	1.0	1.0	1.0	0.0	2.0			1.0	1.0	0.00018018	103.65	0.00017383501
14	2018.0	C00646745	12358.0	ADVERTISING	FACEBOOK	media	1.0	digital		1.0	H8KY06164	H		1.0		AMY MCGRATH FOR CONGRESS	P	H		1.0	1.0	1.0	Amy McGrath for Congress	DL	Z1200	Amy McGrath (D)	C	DL	H	KY	6.0		1.0	2027.8900096416473	MCGRATH, AMY	KY	6.0	C	C	2.0		0.0	0.0		1.0	1.0	1.0	1.0	0.0	3.0			2.0	1.0	0.00202789	110.32	0.0018381889
15	2016.0	C00444620	14035.0	ADVERTISING EXPENSES PUBLIC RELATIONS	FACEBOOK	media	1.0	digital		1.0	H8PA05071	H		1.0		FRIENDS OF GLENN THOMPSON	P	H		2.0	2.0	2.0	Friends of Glenn Thompson	RW	Z1100	Glenn Thompson (R)	I	RW	H	PA	5.0		1.0	99.72999954223633	THOMPSON, GLENN MR	PA	5.0	I	C	1.0		0.0	0.0		1.0	1.0	1.0	1.0	1.0	3.0		2016.0	2.0	1.0	9.9729994e-05	105.74	9.4316245e-05
16	2010.0	C00462986	12358.0	ADVERTISING	FACEBOOK	media	1.0	digital		1.0	S0TX00175	S		1.0		CAS FOR SENATE	P	S		2.0	2.0	2.0	Cas for Senate	RN	Z1100	Andrew Paredes Castanuela (R)	C	RN	S	TX			1.0	124.0	CASTANUELA, ANDREW PAREDES	TX	0.0	C	N	2.0		0.0	0.0		1.0	1.0	1.0	1.0	0.0	2.0			2.0	1.0	0.000124	96.17	0.00012893834
17	2012.0	C90011313	606224.0	WEB ADS	FACEBOOK	digital	1.0	digital		1.0	P80003338	P	O	1.0	500.0	SUSAN B ANTHONY LIST INC	U	I	2.0			2.0	Susan B Anthony List	OI	J7120	Barack Obama (D)	I	DW	P			5.0	2.0								1.0	0.0	0.0	1.0			1.0	1.0	1.0	8.0		2012.0	2.0	1.0	0.0005	100.0	0.0005
18	2008.0	C00122101	289306.0	INTERNET ADVERTISING US SENATE RACE	FEDERAL CAPITAL COMMUNICATIONS CORPORATION	digital	0.0	digital		1.0	S0NH00201	H	S	0.0	5113.64013671875	SAFARI CLUB INTERNATIONAL PAC (SCI-PAC)	U	Q	2.0			2.0	Safari Club International	PI	J6200	John E Sununu (R)	I	RL	S	NH			2.0								1.0	0.0	0.0	1.0			1.0	1.0	1.0	6.0		2008.0	1.0	1.0	0.0051136403	94.42	0.0054158447
19	2020.0	C00710483	12358.0	ADVERTISING	FACEBOOK	media	1.0	digital		1.0	H0NJ05190	H		1.0		GHASSALI FOR CONGRESS	P	H		2.0	2.0	2.0	Ghassali for Congress	RN	Z1100	Mike Ghassali (R)	C	RN	H	NJ	5.0		1.0	8648.649978637695	GHASSALI, MIKE	NJ	5.0	C	C	2.0		0.0	0.0		1.0	1.0	1.0	1.0	1.0	3.0		2020.0	2.0	1.0	0.008648651	113.65	0.007609899
20	2018.0	C00631481	13977.0	ADVERTISING EXPENSES	FACEBOOK	media	1.0	digital		1.0				1.0		MAINERS FOR ACCOUNTABLE LEADERSHIP	U	V			1.0	1.0	Mainers for Accountable Leadership	PI	J1200								1.0	770.1700201034546								0.0	0.0		1.0	1.0	1.0	1.0	0.0	6.0			2.0	1.0	0.00077017007	110.32	0.0006981237
21	2014.0	C00498170	260791.0	GOOGLE ADVERTISING	GOOGLE	digital	1.0	digital		1.0	H0WI04090	H		1.0		COMMITTEE TO ELECT DAN SEBRING FOR CONGRESS	P	H		2.0	2.0	2.0	Committee to Elect Dan Sebring for Congress	RL	Z1100	Dan Sebring (R)	C	RL	H	WI	4.0		1.0	315.4800109863281	SEBRING, DANIEL P	WI	4.0	C	C	2.0		0.0	0.0		1.0	1.0	1.0	1.0	0.0	3.0			2.0	1.0	0.00031548002	103.65	0.0003043705
22	2010.0	C00030718	289105.0	INTERNET AD COSTS	FENN COMMUNICATIONS GROUP	digital	0.0	digital		1.0	H8NJ03156	H	S	0.0	60000.0	NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE	B	Q	1.0			1.0	National Assn of Realtors	PB	F4200	John H Adler (D)	I	DL	H	NJ	3.0		2.0								1.0	0.0	0.0	1.0			1.0	1.0	0.0	6.0			1.0	1.0	0.06	96.17	0.06238952
23	2012.0	C00445452	289204.0	INTERNET ADVERTISING	GOOGLE	digital	1.0	digital		1.0	H8VA11062	H		1.0		CONNOLLY FOR CONGRESS	P	H		1.0	1.0	1.0	Gerry Connolly for Congress	DW	Z1200	Gerry Connolly (D)	I	DW	H	VA	11.0		1.0	1182.809944152832	CONNOLLY, GERRY	VA	11.0	I	C	1.0		0.0	0.0		1.0	1.0	1.0	1.0	1.0	3.0		2012.0	2.0	1.0	0.0011828099	100.0	0.0011828099
24	2014.0	C90011719	606109.0	WEB AD	TARGETED VICTORY	digital	0.0	digital		1.0	S8CO00172	S	O	0.0	45000.0	CROSSROADS GRASSROOTS POLICY STRATEGIES	U	I	2.0		2.0	2.0	Crossroads GPS	OI	J1100	Mark Udall (D)	I	DL	S	CO			2.0								1.0	0.0	0.0	1.0			1.0	1.0	0.0	8.0			1.0	1.0	0.045	103.65	0.04341534
25	2016.0	C00614628	156706.0	DIGITAL ADVERTISING	TIDEWATER STRATEGIES	digital	0.0	digital		1.0	H6NC02148	H		0.0		BRANNON FOR CONGRESS	P	H		2.0	2.0	2.0	Brannon for Congress	RL	Z1100	Greg Brannon (R)	C	RL	H	NC	2.0		1.0	4565.43994140625	BRANNON, GREGORY	NC	2.0	C	P	2.0		0.0	0.0		1.0	1.0	1.0	1.0	1.0	3.0		2016.0	1.0	1.0	0.00456544	105.74	0.0043176096
26	2012.0	C00431445	386687.0	ON LINE ADVERTISING	ALLPOINT VOTER SERVICES	digital	0.0	digital		1.0	P80003338	P		0.0		OBAMA FOR AMERICA	P	P		1.0	1.0	1.0	Obama for America	DW	Z1200	Barack Obama (D)	I	DW	P			4.0	1.0	37043.5	OBAMA, BARACK	US	0.0	I	C	1.0		0.0	0.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	2012.0	1.0	1.0	0.0370435	100.0	0.0370435
27	2014.0	C00224691	390088.0	ONLINE WEB ADVERTISING	FACEBOOK	digital	1.0	digital		1.0	H8CA42061	H		1.0		COMMITTEE TO RE-ELECT CONGRESSMAN DANA ROHRABACHER	P	H		2.0	2.0	2.0	Committee to Re-Elect Dana Rohrabacher	RW	Z1100	Dana Rohrabacher (R)	I	RW	H	CA	48.0		1.0	1302.6499786376953	ROHRABACHER, DANA	CA	48.0	I	C	1.0		0.0	0.0		1.0	1.0	1.0	1.0	0.0	3.0			2.0	1.0	0.0013026501	103.65	0.0012567777
28	2016.0	C00592766	11824.0	ADVERTISEMENT	FACEBOOK	media	1.0	digital		1.0	S0AR00036	S		1.0		COLEMAN FOR SENATE 2016	P	S		2.0	2.0	2.0	Coleman For Senate 2016	RL	Z1100	Curtis Coleman (R)	C	RL	S	AR			1.0	286.9800109863281	COLEMAN, CURTIS	AR	0.0	C	C	2.0		0.0	0.0		1.0	1.0	1.0	1.0	1.0	2.0		2016.0	2.0	1.0	0.00028698	105.74	0.00027140157
29	2018.0	C00500843	157955.0	DIGITAL MEDIA EQUIPMENT	AXLE VIDEO	digital	0.0	digital		1.0	S2MA00170	S		0.0		ELIZABETH FOR MA, INC	P	S		1.0	1.0	1.0	Elizabeth for Massachusetts	DW	Z1200	Elizabeth Warren (D)	I	DW	S	MA			1.0	1995.0	WARREN, ELIZABETH	MA	0.0	I	C	1.0		0.0	0.0		1.0	1.0	1.0	1.0	0.0	2.0			1.0	1.0	0.001995	110.32	0.0018083757
30	2010.0	C00004036	289182.0	INTERNET ADS STARTING	AOL	digital	1.0	digital		1.0	H4MI07103	H	O	0.0	10000.0	SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION)	B	Q	1.0			1.0	Service Employees International Union	PL	LG300	Tim Walberg (R)	C	RW	H	MI	7.0		2.0								1.0	0.0	0.0	1.0			1.0	1.0	0.0	6.0			2.0	1.0	0.01	96.17	0.010398253
31	2020.0	C00540203	156361.0	DIGITAL AD BUY PRODUCTION	STRATEGIC MEDIA PLACEMENT	digital	0.0	digital		1.0		H	S	0.0	30000.0	DEFENDING MAIN STREET SUPERPAC INC.	U	O	2.0		2.0	2.0	Defending Main Street	OI	J1100								2.0								1.0	0.0	0.0	1.0			1.0	1.0	1.0	7.0		2020.0	1.0	1.0	0.03	113.65	0.026396831
32	2020.0	C00711556	117960.0	CONSULTANT EMAIL SOCIAL MEDIA	AG DIGITAL	digital	0.0	digital		1.0	S0KY00321	S		0.0		MIKE BROIHIER FOR SENATE	P	S		1.0	1.0	1.0	Mike Broihier for Senate	DL	Z1200	Michael Broihier (D)	C	DL	S	KY			1.0	28596.75	BROIHIER, MICHAEL GEORGE	KY	0.0	C	C	2.0		0.0	0.0		1.0	1.0	1.0	1.0	1.0	2.0		2020.0	1.0	1.0	0.02859675	113.65	0.02516212
33	2014.0	C90008186	355126.0	MOBILE ADS ALSO OPPOSES MARK BEGICH	FP1 STRATEGIES	digital	0.0	digital		1.0	S4AK00214	S	S	0.0	2000.0	FOCUS ON THE FAMILY ACTION	U	I	2.0		2.0	2.0	Focus on the Family	OI	J1110	Dan Sullivan (R)	C	RW	S	AK			2.0								1.0	0.0	0.0	1.0			1.0	1.0	0.0	8.0			1.0	1.0	0.002	103.65	0.0019295707
34	2018.0	C00495861	366915.0	NON CONTRIBUTION ACCOUNT DIGITAL AD PRODUCTION ESTIMATE	LPS CAMPAIGNS	digital	0.0	digital		1.0	H4NJ03130	H	O	0.0	406.1000061035156	PRIORITIES USA ACTION	U	V	1.0		1.0	1.0	Priorities USA Action	PI	J1200	Thomas MacArthur (R)	I	RL	H	NJ	3.0		2.0								1.0	0.0	0.0	1.0			1.0	1.0	0.0	6.0			1.0	1.0	0.0004061	110.32	0.00036811095
35	2020.0	C00702407	522063.0	SOCIAL MEDIA SERVICES	NOCOLA	digital	0.0	digital		1.0	S0SC00305	S		0.0		GLORIA FOR US SENATE	P	S		1.0	1.0	1.0	Gloria for Us Senate	DN	Z1200	Gloria Bromell-Tinubu (D)	C	DN	S	SC			1.0	771.75	TINUBU, GLORIA BROMELL DR.	SC	0.0	C	C	2.0		0.0	0.0		1.0	1.0	1.0	1.0	1.0	2.0		2020.0	1.0	1.0	0.00077175	113.65	0.0006790585
36	2020.0	C90011693	555502.0	TEXT MESSAGES DIGITAL ADS VOICEMAIL	MCSHANE	digital	0.0	digital		1.0	H4AZ06045	H	S	0.0	23003.36	GUN OWNERS OF AMERICA, INC.	U	I	2.0			2.0	Gun Owners of America	OI	J6200	David Schweikert (R)	I	RW	H	AZ	6.0		2.0								1.0	0.0	0.0	1.0			1.0	1.0	1.0	8.0		2020.0	1.0	1.0	0.02300336	113.65	0.020240529
37	2012.0	C00503177	10321.0	ADS	FACEBOOK	media	1.0	digital		1.0	H2ND00107	H		1.0		BETTE GRANDE FOR CONGRESS	P	H		2.0	2.0	2.0	Bette Grande for Congress	RN	Z1100	Bette B Grande (R)	O	RN	H	ND	1.0		1.0	524.1300029754639	GRANDE, BETTE B	ND	0.0	O	C	3.0		0.0	0.0		1.0	1.0	1.0	1.0	1.0	3.0		2012.0	2.0	1.0	0.00052413	100.0	0.00052413
38	2018.0	C00667865	14624.0	ADVERTISING INTERNET	NORTH STAR MULTIMEDIA	digital	0.0	digital		1.0				0.0		POLICE OFFICERS DEFENSE ALLIANCE LLC	U	O	2.0			2.0	Police Officers Defense Alliance	OI	J9000								1.0	10000.0								0.0	0.0		1.0	1.0	1.0	1.0	0.0	7.0			1.0	1.0	0.01	110.32	0.009064539
39	2012.0	C00000935	607933.0	WEB MEDIA	TWITTER	digital	1.0	digital		1.0	H0OR01095	H	O	1.0	1000.0	DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE	U	Y	1.0	1.0	1.0	1.0	Democratic Congressional Campaign Cmte	DP	Z5200	Robert Cornilles (R)	O	RL	H	OR	1.0		2.0								1.0	0.0	0.0	1.0			1.0	1.0	1.0	5.0		2012.0	2.0	1.0	0.001	100.0	0.001
40	2020.0	C00701367	199404.0	FACEBOOK ADS	FACEBOOK	digital	1.0	digital		1.0	H0NY13108	H		1.0		RICHARD PARNELL HABERSHAM FOR CONGRESS	P	H		1.0	1.0	1.0	Richard Parnell Habersham for Congress	DN	Z1200	Richard Habersham (D)	C	DN	H	NY	13.0		1.0	59.2400016784668	HABERSHAM, RICHARD PARNELL MR	NY	13.0	C	C	2.0		0.0	0.0		1.0	1.0	1.0	1.0	1.0	3.0		2020.0	2.0	1.0	5.9240003e-05	113.65	5.2124946e-05
41	2018.0	C00510164	157876.0	DIGITAL MEDIA AND PRODUCTION	BRABENDERCOX	digital	0.0	digital		1.0	H2PA04135	H		0.0		PATRIOTS FOR PERRY	P	H		2.0	2.0	2.0	Patriots for Perry	RW	Z1100	Scott Perry (R)	I	RW	H	PA	10.0		1.0	30600.0	PERRY, SCOTT	PA	10.0	I	C	1.0		0.0	0.0		1.0	1.0	1.0	1.0	0.0	3.0			1.0	1.0	0.0306	110.32	0.02773749
42	2020.0	C00727958	157840.0	DIGITAL MEDIA	PUSH DIGITAL	digital	0.0	digital		1.0	H0NJ03211	H		0.0		KATE FOR NJ, INC	P	H		2.0	2.0	2.0	Kate for New Jersey	RL	Z1100	Kate Gibbs (R)	C	RL	H	NJ	3.0		1.0	5623.75	GIBBS, KATE	NJ	3.0	C	C	2.0		0.0	0.0		1.0	1.0	1.0	1.0	1.0	3.0		2020.0	1.0	1.0	0.00562375	113.65	0.004948306
43	2014.0	C00555854	199550.0	FACEBOOK ADVERTISING	RED STAMPEDE	digital	0.0	digital		1.0	H4CA53075	H		0.0		WAYNE TRUE FOR CONGRESS	P	H		2.0	2.0	2.0	Wayne True for Congress	RL	Z1100	Wayne True (R)	C	RL	H	CA	53.0		1.0	105.0	TRUE, WAYNE STEWART	CA	53.0	C	C	2.0		0.0	0.0		1.0	1.0	1.0	1.0	0.0	3.0			1.0	1.0	0.000105	103.65	0.00010130246
44	2020.0	C00003590	466708.0	PRODUCTION COSTS DIGITAL ADS	UNITED STEELWORKERS	digital	0.0	digital		1.0	P80000722	P	S	0.0	3657.17	UNITED STEELWORKERS POLITICAL ACTION FUND	B	Q	1.0	3.0		3.0	United Steelworkers	PL	LM100	Joe Biden (D)	C	DW	P				2.0								1.0	0.0	0.0	1.0			1.0	1.0	1.0	6.0		2020.0	1.0	1.0	0.0036571699	113.65	0.0032179232
45	2010.0	C00482299	12358.0	ADVERTISING	GOOGLE	media	1.0	digital		1.0	H0MA09050	H		1.0		COMMITTEE TO ELECT MACDONALD D'ALESSANDRO	P	H		1.0	1.0	1.0	Committee to Elect MacDonald D'Alessandro	DL	Z1200	Macdonald King D'Alessandro (D)	C	DL	H	MA	9.0		1.0	773.149998664856	D'ALESSANDRO, MACDONALD KING	MA	9.0	C	C	2.0		0.0	0.0		1.0	1.0	1.0	1.0	0.0	3.0			2.0	1.0	0.00077315	96.17	0.000803941
46	2018.0	C00106146	584082.0	TV DIGITAL ADS PRODUCTION ESTIMATE	MENTZER MEDIA SERVICES	digital	0.0	digital		1.0	H4NY24073	H	S	0.0	258000.0	AMERICAN HOSPITAL ASSOCIATION PAC	B	Q	2.0			2.0	American Hospital Assn	PB	H2100	John Katko (R)	I	RW	H	NY	24.0		2.0								1.0	0.0	0.0	1.0			1.0	1.0	0.0	6.0			1.0	1.0	0.258	110.32	0.23386511
47	2020.0	C00697441	156706.0	DIGITAL ADVERTISING	MICROSOFT	digital	0.0	digital		1.0	P00010298	P		0.0		WIN THE ERA PAC	U	N		1.0	1.0	1.0	Pete for America	DL	Z1200	Pete Buttigieg (D)	C	DL	P				1.0	168779.67889404297	BUTTIGIEG, PETE	US	0.0	C	C	2.0		0.0	0.0		1.0	1.0	1.0	1.0	1.0	6.0		2020.0	1.0	1.0	0.16877967	113.65	0.14850828
48	2018.0	C00341396	12358.0	ADVERTISING	FACEBOOK	media	1.0	digital		1.0				1.0		MOVEON.ORG POLITICAL ACTION	U	W	1.0		1.0	1.0	Moveon.org	PI	J1200								1.0	29001.75								0.0	0.0		1.0	1.0	1.0	1.0	0.0	6.0			2.0	1.0	0.02900175	110.32	0.026288752
49	2020.0	C00728154	156706.0	DIGITAL ADVERTISING	BLOOMBERG MICHAEL R	digital	0.0	digital		1.0	P00014530	P		0.0		MIKE BLOOMBERG 2020, INC.	P	P		1.0	1.0	1.0	Mike Bloomberg 2020	DL	Z1200	Michael Bloomberg (D)	C	DL	P				1.0	1000099.0	BLOOMBERG, MICHAEL R.	US	0.0	C	C	2.0		0.0	0.0		1.0	1.0	1.0	1.0	1.0	1.0		2020.0	1.0	1.0	1.000099	113.65	0.87998146
50	2016.0	C00602946	17566.0	ADVERTISMENT	FACEBOOK	media	1.0	digital		1.0	H6NY03189	H		1.0		LUPINACCI FOR CONGRESS	P	H		2.0	2.0	2.0	Lupinacci For Congress	RN	Z1100	Chad Lupinacci (R)	O	RN	H	NY	3.0		1.0	236.9600067138672	LUPINACCI, CHAD ANTHONY	NY	3.0	O	C	3.0		0.0	0.0		1.0	1.0	1.0	1.0	1.0	3.0		2016.0	2.0	1.0	0.00023696001	105.74	0.00022409686
51	2020.0	C00680926	156489.0	DIGITAL AD PRODUCTION ESTIMATE	BETTY SMITH	digital	0.0	digital		1.0	S4NC00162	S	O	0.0	10867.5	PATIENTS FOR AFFORDABLE DRUGS ACTION	U	O	1.0			1.0	Patients for Affordable Drugs Action	OI	JH100	Thom Tillis (R)	I	RW	S	NC			2.0								1.0	0.0	0.0	1.0			1.0	1.0	1.0	7.0		2020.0	1.0	1.0	0.0108675	113.65	0.009562252
52	2012.0	C00508200	289204.0	INTERNET ADVERTISING	FACEBOOK	digital	1.0	digital		1.0				1.0		1911 UNITED	U	O	1.0			1.0	1911 United	OI	J7500								1.0	3164.5499992370605								0.0	0.0		1.0	1.0	1.0	1.0	1.0	7.0		2012.0	2.0	1.0	0.00316455	100.0	0.00316455
53	2020.0	C00004036	156706.0	DIGITAL ADVERTISING	SEIU GENERAL FUND	digital	0.0	digital		1.0				0.0		SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION)	B	Q	1.0			1.0	Service Employees International Union	PL	LG300								1.0	1800.0								0.0	0.0		1.0	1.0	1.0	1.0	1.0	6.0		2020.0	1.0	1.0	0.0018	113.65	0.0015838098
54	2010.0	C00476770	13841.0	ADVERTISING EXPENSE	FACEBOOK	media	1.0	digital		1.0	H0CA15205	H		1.0		SCOTT KIRKLAND FOR CONGRESS	P	H		2.0	2.0	2.0	Scott Kirkland for Congress	RL	Z1100	Scott Kirkland (R)	C	RL	H	CA	15.0		1.0	147.55999946594238	KIRKLAND, SCOTT SPENCER	CA	15.0	C	P	2.0		0.0	0.0		1.0	1.0	1.0	1.0	0.0	3.0			2.0	1.0	0.00014756	96.17	0.00015343663
55	2016.0	C00565689	156429.0	DIGITAL AD PLACEMENT AND PRODUCTION	REVOLUTION MEDIA GROUP	digital	0.0	digital		1.0	S6PA00266	S	O	0.0	79135.58984375	PROSPERITY FOR PENNSYLVANIA INC	U	O	2.0		2.0	2.0	Prosperity for Pennsylvania	OI	J1100	Katie McGinty (D)	C	DL	S	PA			2.0								1.0	0.0	0.0	1.0			1.0	1.0	1.0	7.0		2016.0	1.0	1.0	0.0791356	105.74	0.07483979
56	2020.0	C00722595	199404.0	FACEBOOK ADS	FACEBOOK	digital	1.0	digital		1.0	H0TX13103	H		1.0		VANCE SNIDER FOR CONGRESS	P	H		2.0	2.0	2.0	Vance Snider for Congress	RL	Z1100	Vance Snider (R)	O	RL	H	TX	13.0		1.0	1062.5599975585938	SNIDER, VANCE NEAL MR. II	TX	13.0	O	C	3.0		0.0	0.0		1.0	1.0	1.0	1.0	1.0	3.0		2020.0	2.0	1.0	0.00106256	113.65	0.0009349406
57	2018.0	C00641332	387520.0	ONLINE ADVERTISING	TWITTER	digital	1.0	digital		1.0	S8TX00319	S		1.0		COMMITTEE TO ELECT STEFANO DE STEFANO	P	S		2.0	2.0	2.0	Committee to Elect Stefano De Stefano	RL	Z1100	Stefano De Stefano (R)	C	RL	S	TX			1.0	493.3000030517578	DE STEFANO, STEFANO	TX	0.0	C	C	2.0		0.0	0.0		1.0	1.0	1.0	1.0	0.0	2.0			2.0	1.0	0.0004933	110.32	0.00044715372
